"kabupaten_kota";"nilai_investasi";"periode_update"
"Kabupaten Magetan";"0.0004785";"Triwulan II 2020"
"Kabupaten Malang";"0.2648568";"Triwulan II 2020"
"Kabupaten Mojokerto";"0.4734208";"Triwulan II 2020"
"Kabupaten Nganjuk";"0.07345";"Triwulan II 2020"
"Kabupaten Ngawi";"0.0004597";"Triwulan II 2020"
"Kabupaten Pacitan";"0.0366392";"Triwulan II 2020"
"Kabupaten Pamekasan";"0.0062783";"Triwulan II 2020"
"Kabupaten Pasuruan";"1.2504022";"Triwulan II 2020"
"Kabupaten Ponorogo";"0.000162";"Triwulan II 2020"
"Kabupaten Probolinggo";"0.1514715";"Triwulan II 2020"
"Kabupaten Sampang";"0";"Triwulan II 2020"
"Kabupaten Sidoarjo";"2.0958933";"Triwulan II 2020"
"Kabupaten Situbondo";"0.0001586";"Triwulan II 2020"
"Kabupaten Sumenep";"0";"Triwulan II 2020"
"Kabupaten Trenggalek";"0.0045";"Triwulan II 2020"
"Kabupaten Tuban";"0.0927609";"Triwulan II 2020"
"Kabupaten Tulungagung";"0.0578239";"Triwulan II 2020"
"Kota Batu";"0.0718008";"Triwulan II 2020"
"Kota Blitar";"0.0022595";"Triwulan II 2020"
"Kota Kediri";"0.2654896";"Triwulan II 2020"
"Kota Madiun";"0.0006737";"Triwulan II 2020"
"Kota Malang";"0.0400324";"Triwulan II 2020"
"Kota Mojokerto";"0.0021319";"Triwulan II 2020"
"Kota Pasuruan";"0";"Triwulan II 2020"
"Kota Probolinggo";"0.000185";"Triwulan II 2020"
"Kota Surabaya";"4.8851909";"Triwulan II 2020"
"Kabupaten Bangkalan";"0";"Triwulan III 2020"
"Kabupaten Banyuwangi";"0.1492059";"Triwulan III 2020"
"Kabupaten Blitar";"0.0082554";"Triwulan III 2020"
"Kabupaten Bojonegoro";"0.0030818";"Triwulan III 2020"
"Kabupaten Bondowoso";"0.0225099";"Triwulan III 2020"
"Kabupaten Gresik";"1.2263098";"Triwulan III 2020"
"Kabupaten Jember";"0.0524593";"Triwulan III 2020"
"Kabupaten Jombang";"0.0627788";"Triwulan III 2020"
"Kabupaten Kediri";"0.1000255";"Triwulan III 2020"
"Kabupaten Lamongan";"0.014322";"Triwulan III 2020"
"Kabupaten Lumajang";"0.0114239";"Triwulan III 2020"
"Kabupaten Madiun";"1.935354";"Triwulan III 2020"
"Kabupaten Magetan";"0.0075978";"Triwulan III 2020"
"Kabupaten Malang";"0.0666909";"Triwulan III 2020"
"Kabupaten Mojokerto";"0.1836932";"Triwulan III 2020"
"Kabupaten Nganjuk";"0.0123246";"Triwulan III 2020"
"Kabupaten Ngawi";"0.4482534";"Triwulan III 2020"
"Kabupaten Pacitan";"0.0308954";"Triwulan III 2020"
"Kabupaten Pamekasan";"0.0177849";"Triwulan III 2020"
"Kabupaten Pasuruan";"0.578722";"Triwulan III 2020"
"Kabupaten Ponorogo";"0.0023927";"Triwulan III 2020"
"Kabupaten Probolinggo";"0.1073694";"Triwulan III 2020"
"Kabupaten Sampang";"0";"Triwulan III 2020"
"Kabupaten Sidoarjo";"0.7637403";"Triwulan III 2020"
"Kabupaten Situbondo";"0.0101676";"Triwulan III 2020"
"Kabupaten Sumenep";"0";"Triwulan III 2020"
"Kabupaten Trenggalek";"0.0214589";"Triwulan III 2020"
"Kabupaten Tuban";"0.2133661";"Triwulan III 2020"
"Kabupaten Tulungagung";"0.0141037";"Triwulan III 2020"
"Kota Batu";"0.0249281";"Triwulan III 2020"
"Kota Blitar";"0.000598";"Triwulan III 2020"
"Kota Kediri";"0.1343384";"Triwulan III 2020"
"Kota Madiun";"0.0013511";"Triwulan III 2020"
"Kota Malang";"0.0196612";"Triwulan III 2020"
"Kota Mojokerto";"0.0025401";"Triwulan III 2020"
"Kota Pasuruan";"0.0004724";"Triwulan III 2020"
"Kota Probolinggo";"0.0082199";"Triwulan III 2020"
"Kota Surabaya";"2.6955071";"Triwulan III 2020"
"Kabupaten Bangkalan";"  0.00 ";"Triwulan IV 2020"
"Kabupaten Banyuwangi";"  0.01 ";"Triwulan IV 2020"
"Kabupaten Blitar";"  0.01 ";"Triwulan IV 2020"
"Kabupaten Bojonegoro";"  0.01 ";"Triwulan IV 2020"
"Kabupaten Bondowoso";"  0.02 ";"Triwulan IV 2020"
"Kabupaten Gresik";"  2.03 ";"Triwulan IV 2020"
"Kabupaten Jember";"  0.03 ";"Triwulan IV 2020"
"Kabupaten Jombang";"  0.01 ";"Triwulan IV 2020"
"Kabupaten Kediri";"  1.80 ";"Triwulan IV 2020"
"Kabupaten Lamongan";"  0.01 ";"Triwulan IV 2020"
"Kabupaten Lumajang";"  0.01 ";"Triwulan IV 2020"
"Kabupaten Madiun";"  0.04 ";"Triwulan IV 2020"
"Kabupaten Magetan";"  0.37 ";"Triwulan IV 2020"
"Kabupaten Malang";"  0.72 ";"Triwulan IV 2020"
"Kabupaten Mojokerto";"  0.09 ";"Triwulan IV 2020"
"Kabupaten Nganjuk";"  0.02 ";"Triwulan IV 2020"
"Kabupaten Ngawi";"  0.01 ";"Triwulan IV 2020"
"Kabupaten Pacitan";"  0.00 ";"Triwulan IV 2020"
"Kabupaten Pamekasan";"  0.00 ";"Triwulan IV 2020"
"Kabupaten Pasuruan";"  0.52 ";"Triwulan IV 2020"
"Kabupaten Ponorogo";"  0.00 ";"Triwulan IV 2020"
